sin(x),cos(x)
sin(0.000) = 0.000,cos(0.000) = 1.000
sin(0.010) = 0.010,cos(0.010) = 1.000
sin(0.020) = 0.020,cos(0.020) = 1.000
sin(0.030) = 0.030,cos(0.030) = 1.000
sin(0.040) = 0.040,cos(0.040) = 0.999
sin(0.050) = 0.050,cos(0.050) = 0.999
sin(0.060) = 0.060,cos(0.060) = 0.998
sin(0.070) = 0.070,cos(0.070) = 0.998
sin(0.080) = 0.080,cos(0.080) = 0.997
sin(0.090) = 0.090,cos(0.090) = 0.996
sin(0.100) = 0.100,cos(0.100) = 0.995
sin(0.110) = 0.110,cos(0.110) = 0.994
sin(0.120) = 0.120,cos(0.120) = 0.993
sin(0.130) = 0.130,cos(0.130) = 0.992
sin(0.140) = 0.140,cos(0.140) = 0.990
sin(0.150) = 0.149,cos(0.150) = 0.989
sin(0.160) = 0.159,cos(0.160) = 0.987
sin(0.170) = 0.169,cos(0.170) = 0.986
sin(0.180) = 0.179,cos(0.180) = 0.984
sin(0.190) = 0.189,cos(0.190) = 0.982
sin(0.200) = 0.199,cos(0.200) = 0.980
sin(0.210) = 0.208,cos(0.210) = 0.978
sin(0.220) = 0.218,cos(0.220) = 0.976
sin(0.230) = 0.228,cos(0.230) = 0.974
sin(0.240) = 0.238,cos(0.240) = 0.971
sin(0.250) = 0.247,cos(0.250) = 0.969
sin(0.260) = 0.257,cos(0.260) = 0.966
sin(0.270) = 0.267,cos(0.270) = 0.964
sin(0.280) = 0.276,cos(0.280) = 0.961
sin(0.290) = 0.286,cos(0.290) = 0.958
sin(0.300) = 0.296,cos(0.300) = 0.955
sin(0.310) = 0.305,cos(0.310) = 0.952
sin(0.320) = 0.315,cos(0.320) = 0.949
sin(0.330) = 0.324,cos(0.330) = 0.946
sin(0.340) = 0.333,cos(0.340) = 0.943
sin(0.350) = 0.343,cos(0.350) = 0.939
sin(0.360) = 0.352,cos(0.360) = 0.936
sin(0.370) = 0.362,cos(0.370) = 0.932
sin(0.380) = 0.371,cos(0.380) = 0.929
sin(0.390) = 0.380,cos(0.390) = 0.925
sin(0.400) = 0.389,cos(0.400) = 0.921
sin(0.410) = 0.399,cos(0.410) = 0.917
sin(0.420) = 0.408,cos(0.420) = 0.913
sin(0.430) = 0.417,cos(0.430) = 0.909
sin(0.440) = 0.426,cos(0.440) = 0.905
sin(0.450) = 0.435,cos(0.450) = 0.900
sin(0.460) = 0.444,cos(0.460) = 0.896
sin(0.470) = 0.453,cos(0.470) = 0.892
sin(0.480) = 0.462,cos(0.480) = 0.887
sin(0.490) = 0.471,cos(0.490) = 0.882
sin(0.500) = 0.479,cos(0.500) = 0.878
sin(0.510) = 0.488,cos(0.510) = 0.873
sin(0.520) = 0.497,cos(0.520) = 0.868
sin(0.530) = 0.506,cos(0.530) = 0.863
sin(0.540) = 0.514,cos(0.540) = 0.858
sin(0.550) = 0.523,cos(0.550) = 0.853
sin(0.560) = 0.531,cos(0.560) = 0.847
sin(0.570) = 0.540,cos(0.570) = 0.842
sin(0.580) = 0.548,cos(0.580) = 0.836
sin(0.590) = 0.556,cos(0.590) = 0.831
sin(0.600) = 0.565,cos(0.600) = 0.825
sin(0.610) = 0.573,cos(0.610) = 0.820
sin(0.620) = 0.581,cos(0.620) = 0.814
sin(0.630) = 0.589,cos(0.630) = 0.808
sin(0.640) = 0.597,cos(0.640) = 0.802
sin(0.650) = 0.605,cos(0.650) = 0.796
sin(0.660) = 0.613,cos(0.660) = 0.790
sin(0.670) = 0.621,cos(0.670) = 0.784
sin(0.680) = 0.629,cos(0.680) = 0.778
sin(0.690) = 0.637,cos(0.690) = 0.771
sin(0.700) = 0.644,cos(0.700) = 0.765
sin(0.710) = 0.652,cos(0.710) = 0.758
sin(0.720) = 0.659,cos(0.720) = 0.752
sin(0.730) = 0.667,cos(0.730) = 0.745
sin(0.740) = 0.674,cos(0.740) = 0.738
sin(0.750) = 0.682,cos(0.750) = 0.732
sin(0.760) = 0.689,cos(0.760) = 0.725
sin(0.770) = 0.696,cos(0.770) = 0.718
sin(0.780) = 0.703,cos(0.780) = 0.711
sin(0.790) = 0.710,cos(0.790) = 0.704
sin(0.800) = 0.717,cos(0.800) = 0.697
sin(0.810) = 0.724,cos(0.810) = 0.689
sin(0.820) = 0.731,cos(0.820) = 0.682
sin(0.830) = 0.738,cos(0.830) = 0.675
sin(0.840) = 0.745,cos(0.840) = 0.667
sin(0.850) = 0.751,cos(0.850) = 0.660
sin(0.860) = 0.758,cos(0.860) = 0.652
sin(0.870) = 0.764,cos(0.870) = 0.645
sin(0.880) = 0.771,cos(0.880) = 0.637
sin(0.890) = 0.777,cos(0.890) = 0.629
sin(0.900) = 0.783,cos(0.900) = 0.622
sin(0.910) = 0.790,cos(0.910) = 0.614
sin(0.920) = 0.796,cos(0.920) = 0.606
sin(0.930) = 0.802,cos(0.930) = 0.598
sin(0.940) = 0.808,cos(0.940) = 0.590
sin(0.950) = 0.813,cos(0.950) = 0.582
sin(0.960) = 0.819,cos(0.960) = 0.574
sin(0.970) = 0.825,cos(0.970) = 0.565
sin(0.980) = 0.830,cos(0.980) = 0.557
sin(0.990) = 0.836,cos(0.990) = 0.549
sin(1.000) = 0.841,cos(1.000) = 0.540
sin(1.010) = 0.847,cos(1.010) = 0.532
sin(1.020) = 0.852,cos(1.020) = 0.523
sin(1.030) = 0.857,cos(1.030) = 0.515
sin(1.040) = 0.862,cos(1.040) = 0.506
sin(1.050) = 0.867,cos(1.050) = 0.498
sin(1.060) = 0.872,cos(1.060) = 0.489
sin(1.070) = 0.877,cos(1.070) = 0.480
sin(1.080) = 0.882,cos(1.080) = 0.471
sin(1.090) = 0.887,cos(1.090) = 0.462
sin(1.100) = 0.891,cos(1.100) = 0.454
sin(1.110) = 0.896,cos(1.110) = 0.445
sin(1.120) = 0.900,cos(1.120) = 0.436
sin(1.130) = 0.904,cos(1.130) = 0.427
sin(1.140) = 0.909,cos(1.140) = 0.418
sin(1.150) = 0.913,cos(1.150) = 0.408
sin(1.160) = 0.917,cos(1.160) = 0.399
sin(1.170) = 0.921,cos(1.170) = 0.390
sin(1.180) = 0.925,cos(1.180) = 0.381
sin(1.190) = 0.928,cos(1.190) = 0.372
sin(1.200) = 0.932,cos(1.200) = 0.362
sin(1.210) = 0.936,cos(1.210) = 0.353
sin(1.220) = 0.939,cos(1.220) = 0.344
sin(1.230) = 0.942,cos(1.230) = 0.334
sin(1.240) = 0.946,cos(1.240) = 0.325
sin(1.250) = 0.949,cos(1.250) = 0.315
sin(1.260) = 0.952,cos(1.260) = 0.306
sin(1.270) = 0.955,cos(1.270) = 0.296
sin(1.280) = 0.958,cos(1.280) = 0.287
sin(1.290) = 0.961,cos(1.290) = 0.277
sin(1.300) = 0.964,cos(1.300) = 0.267
